epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,200.266,1.38378,1.57965,1.33,0.39277,0.3662,0.32117,0.14621,2.09552,2.58516,1.93976,0.0011882,0.0011882,0.0011882
43,397.143,1.34795,1.44942,1.30823,0.37993,0.53506,0.37758,0.13572,2.07068,2.28819,1.93248,0.0011684,0.0011684,0.0011684
44,595.841,1.53531,1.55817,1.39197,0.34372,0.49296,0.29478,0.11204,2.06853,2.33238,1.91139,0.0011486,0.0011486,0.0011486
45,792.918,1.67465,1.79532,1.49079,0.47148,0.42254,0.32981,0.12607,2.11715,2.47184,1.99111,0.0011288,0.0011288,0.0011288
46,993.529,1.54002,1.66829,1.40878,0.39155,0.69014,0.38618,0.17889,1.89594,1.85454,1.80404,0.001109,0.001109,0.001109
47,1205.77,1.69466,1.93731,1.51046,0.41102,0.49296,0.42914,0.20617,1.84999,1.86345,1.75225,0.0010892,0.0010892,0.0010892
48,1418.6,1.50584,1.56564,1.41643,0.59798,0.48189,0.47838,0.19533,1.94908,1.98219,1.8442,0.0010694,0.0010694,0.0010694
49,1616.66,1.54141,1.44859,1.46278,0.52838,0.44188,0.39491,0.17961,1.92085,2.06094,1.86816,0.0010496,0.0010496,0.0010496
50,1817.18,1.48767,1.42181,1.3713,0.46802,0.46479,0.46609,0.2146,1.91288,2.26133,1.88016,0.0010298,0.0010298,0.0010298
51,2016.3,1.43712,1.4853,1.3577,0.58014,0.38028,0.43757,0.18588,1.9185,2.36879,1.85655,0.00101,0.00101,0.00101
52,2214.17,1.55036,1.67313,1.47533,0.44679,0.48917,0.3909,0.19566,1.94273,2.15829,1.86335,0.0009902,0.0009902,0.0009902
53,2412.84,1.47702,1.38373,1.38826,0.381,0.60684,0.39587,0.13635,2.15135,1.94396,2.00266,0.0009704,0.0009704,0.0009704
54,2609.82,1.45979,1.44202,1.36004,0.54294,0.69014,0.58173,0.22147,1.99697,1.77832,1.87922,0.0009506,0.0009506,0.0009506
55,2819.92,1.4676,1.5601,1.36888,0.58131,0.50704,0.49475,0.20432,1.88683,2.1858,1.76907,0.0009308,0.0009308,0.0009308
56,3026.38,1.41781,1.40784,1.35742,0.56614,0.46479,0.47212,0.21735,2.02775,2.27861,1.8565,0.000911,0.000911,0.000911
57,3225.86,1.44046,1.50648,1.36623,0.55073,0.50704,0.51244,0.21382,1.92797,1.96226,1.81225,0.0008912,0.0008912,0.0008912
58,3425.15,1.48801,1.49297,1.46778,0.61467,0.44938,0.45739,0.23406,1.77529,2.75016,1.76691,0.0008714,0.0008714,0.0008714
59,3623.16,1.40233,1.31218,1.27516,0.66594,0.5493,0.55713,0.21332,2.01224,1.90126,1.87758,0.0008516,0.0008516,0.0008516
60,3821.84,1.45544,1.66249,1.36259,0.49466,0.4507,0.36135,0.14883,2.09248,2.2719,2.0192,0.0008318,0.0008318,0.0008318
61,4020.14,1.402,1.36421,1.35207,0.67744,0.56338,0.55303,0.24263,1.97587,1.88721,1.93066,0.000812,0.000812,0.000812
62,4220.13,1.39076,1.30396,1.32452,0.61661,0.6338,0.54307,0.22496,1.91282,1.75298,1.79696,0.0007922,0.0007922,0.0007922
63,4419.85,1.43933,1.55627,1.35326,0.73118,0.67606,0.61649,0.26654,2.00176,1.76207,1.97008,0.0007724,0.0007724,0.0007724
64,4617.93,1.42345,1.38648,1.36503,0.53974,0.56159,0.52788,0.25222,1.82826,1.79596,1.7506,0.0007526,0.0007526,0.0007526
65,4818.04,1.38909,1.37833,1.27834,0.58757,0.6338,0.57102,0.23726,1.86886,1.98635,1.8045,0.0007328,0.0007328,0.0007328
66,5015.41,1.44316,1.54345,1.37135,0.57969,0.53521,0.44803,0.19655,1.93872,1.90226,1.85912,0.000713,0.000713,0.000713
67,5217.4,1.31324,1.36729,1.27308,0.55869,0.64789,0.57245,0.22079,2.00206,1.87124,1.89401,0.0006932,0.0006932,0.0006932
68,5417.05,1.52809,1.52283,1.41572,0.64017,0.57634,0.57642,0.23536,1.83171,1.70785,1.77291,0.0006734,0.0006734,0.0006734
69,5614.31,1.39571,1.41614,1.28658,0.67157,0.64789,0.60583,0.2572,1.84294,1.64031,1.73438,0.0006536,0.0006536,0.0006536
70,5812.31,1.41183,1.41719,1.31271,0.773,0.64789,0.6576,0.27966,1.79869,1.62145,1.70291,0.0006338,0.0006338,0.0006338
71,6010.65,1.40567,1.35326,1.33146,0.61218,0.6338,0.66009,0.2705,1.85478,1.88634,1.74804,0.000614,0.000614,0.000614
72,6210.64,1.401,1.3106,1.28214,0.60197,0.6338,0.60261,0.25302,1.91946,2.0379,1.82327,0.0005942,0.0005942,0.0005942
73,6422.4,1.38385,1.3947,1.30704,0.66372,0.72281,0.64669,0.26837,1.87486,1.61937,1.81668,0.0005744,0.0005744,0.0005744
74,6617.93,1.34868,1.32497,1.27727,0.5577,0.62159,0.55703,0.23072,1.92302,1.98563,1.83116,0.0005546,0.0005546,0.0005546
75,6817.56,1.42242,1.27033,1.30867,0.54903,0.50704,0.49221,0.20784,1.91788,2.26549,1.82066,0.0005348,0.0005348,0.0005348
76,7008.6,1.37177,1.42505,1.28106,0.62098,0.71831,0.60967,0.29459,1.7618,1.61508,1.72072,0.000515,0.000515,0.000515
77,7199.99,1.27936,1.20235,1.19903,0.59368,0.57746,0.53515,0.22946,1.85786,2.10167,1.77428,0.0004952,0.0004952,0.0004952
78,7391.37,1.41103,1.31739,1.32183,0.6011,0.60563,0.54359,0.21201,1.9767,1.93847,1.85997,0.0004754,0.0004754,0.0004754
79,7597.77,1.36629,1.37663,1.3021,0.62411,0.63143,0.52658,0.2392,1.87392,2.00129,1.78568,0.0004556,0.0004556,0.0004556
80,7794.79,1.40486,1.43526,1.31115,0.69042,0.61972,0.60402,0.27119,1.8481,1.52568,1.79627,0.0004358,0.0004358,0.0004358
81,7987.29,1.34871,1.37053,1.29159,0.67473,0.66197,0.58379,0.25216,1.98846,1.87725,1.88062,0.000416,0.000416,0.000416
